id,bus,loop,variations,voice_limit,priority,caption,ducks,gameplay,triggered_in,status
cool,hud,,4,4,50,,,,audio/director.ts; scenes/operation.ts; surgery/entities.ts; surgery/lauds.ts; surgery/malison.ts; surgery/operation.ts; surgery/types.ts,alias → sfx.rate.cool
good,hud,,4,4,50,,,,audio/director.ts; scenes/operation.ts; surgery/entities.ts; surgery/entity.ts; surgery/lauds.ts; surgery/malison.ts; surgery/operation.ts; surgery/types.ts,alias → sfx.rate.good
bad,hud,,4,4,50,,,,audio/director.ts; surgery/entities.ts; surgery/types.ts,alias → sfx.rate.bad
miss,hud,,4,4,50,,,,audio/director.ts; surgery/lauds.ts; surgery/malison.ts; surgery/operation.ts; surgery/types.ts,alias → sfx.rate.miss
cut,world,,4,4,50,,,,audio/director.ts; audio/music/player.ts; audio/music/state.ts; surgery/entities.ts; surgery/malison.ts; surgery/operation.ts,alias → sfx.lancet.cut
stitch,world,,4,4,50,,,,audio/director.ts; surgery/entities.ts,alias → sfx.thread.pierce
squelch,world,,4,4,50,,,,audio/director.ts; audio/system.ts; scenes/results.ts; surgery/entities.ts; surgery/lauds.ts,alias → sfx.lancet.open
pluck,world,,4,4,50,,,,audio/director.ts; surgery/entities.ts; surgery/malison.ts,alias → sfx.tongs.grabFlesh
burn,world,,4,4,50,,,,audio/director.ts; surgery/entities.ts; surgery/lauds.ts; surgery/malison.ts,alias → sfx.burn.crack
inject,world,,4,4,50,,,,audio/director.ts; surgery/entities.ts; surgery/operation.ts,alias → sfx.tincture.done
heartbeat,world,,4,4,50,,,,audio/director.ts,alias → sfx.heart.beat
flatline,hud,,4,4,50,,,,audio/director.ts; surgery/operation.ts,alias → sfx.death.knell
litany,hud,,4,4,50,,,,audio/director.ts; audio/mixer.ts; surgery/operation.ts,alias → sfx.litany.invoke
bell,hud,,4,4,50,,,,audio/director.ts; audio/music/instruments.ts; audio/music/player.ts; audio/music/themes.ts; audio/system.ts; scenes/results.ts; surgery/operation.ts,alias → sfx.malison.unmade
select,ui,,4,4,50,,,,audio/director.ts; audio/system.ts; scenes/story.ts; surgery/operation.ts,alias → ui.tab
alarm,hud,,4,4,50,,,,audio/director.ts,alias → sfx.vitals.warn30
sfx.lancet.touch,world,,4,2,30,,,,audio/director.ts; audio/sfx.ts,synthesised
sfx.lancet.cut,world,,4,3,50,,,,audio/director.ts; audio/sfx.ts,synthesised
sfx.lancet.open,world,,4,2,60,[Flesh parts wetly],,,audio/director.ts; audio/sfx.ts,synthesised
sfx.lancet.slip,world,,4,2,55,[The lancet slips],,yes,audio/director.ts; audio/sfx.ts,synthesised
sfx.lancet.air,world,,4,2,40,,,,audio/director.ts; audio/sfx.ts,synthesised
sfx.lancet.nick,world,,4,2,55,,,,audio/director.ts; audio/sfx.ts,synthesised
loop.lancet.cut,world,yes,,8,45,,,,audio/director.ts; audio/sfx.ts,synthesised
