id,asset_key,character,line,context,emotion,max_duration_s,variants
prologue.005,line.cbb226bf,Master Haller,"So. You are the new sawbones the Guild sent me. Kreuzer, is it?",I · Kessendorf — the Hospice of Saint Ildra the Merciful,questioning,5.1,1
prologue.006,line.90debf92,Dr. Kreuzer,"Apothecary-surgeon, sworn at Weissburg. I have my letters, Master Haller—",I · Kessendorf — the Hospice of Saint Ildra the Merciful,neutral,5.7,1
prologue.007,line.6cc898e5,Master Haller,Letters. Letters don’t stop a man bleeding into the straw. Hands do. Show me your hands.,I · Kessendorf — the Hospice of Saint Ildra the Merciful,neutral,6.7,1
prologue.008,line.ad36f59f,Master Haller,…Steady enough. Why would a sworn Weissburg man take a charity bed in a city that burns its sick?,I · Kessendorf — the Hospice of Saint Ildra the Merciful,questioning,7.3,1
prologue.009,line.8868385a,Dr. Kreuzer,"Weissburg taught me the rules, Master. I came somewhere too poor to afford them.",I · Kessendorf — the Hospice of Saint Ildra the Merciful,neutral,6.2,1
prologue.010,line.15216245,Master Haller,Hm. Sister! Our young doctor has arrived just in time for the Tuesday knife-fights.,I · Kessendorf — the Hospice of Saint Ildra the Merciful,urgent,6.4,1
prologue.011,line.f836d1b6,Sister Ilse,"Sister Ilse, of the Merciful Order. I keep the instruments, the ledgers, and the Master’s temper.",I · Kessendorf — the Hospice of Saint Ildra the Merciful,neutral,7.3,1
prologue.012,line.6b672d73,Sister Ilse,There’s a drover on the table already. Somebody at the Crooked Goose disagreed with his dice.,I · Kessendorf — the Hospice of Saint Ildra the Merciful,neutral,7.0,1
prologue.013,line.997ff194,Master Haller,Knife wounds. Simple work. I’ll watch.,I · Kessendorf — the Hospice of Saint Ildra the Merciful,neutral,3.5,1
prologue.014,line.bd5d22c7,Master Haller,And Kreuzer — in this hospice we do not lose patients to simple work.,I · Kessendorf — the Hospice of Saint Ildra the Merciful,neutral,5.5,1
op1-1.p0.1,line.40279e1a,Sister Ilse,Two deep cuts. Take the Gut Thread and zig-zag across each wound to stitch it.,A Tavern Knife — phase 1,neutral,4.3,1
op1-1.p0.2,line.8709a984,Sister Ilse,"Cross the wound again and again, moving along it. One smooth stroke earns the best marks.",A Tavern Knife — phase 1,neutral,4.9,1
op1-1.p1.1,line.7ff97648,Sister Ilse,Blood’s pooled from the cuts. Hold the Leech-Pipe over it to draw it off.,A Tavern Knife — phase 2,neutral,4.0,1
op1-1.p1.2,line.16f7299b,Sister Ilse,"Next time, drain first — you can’t stitch through a pool of blood.",A Tavern Knife — phase 2,neutral,3.6,1
op1-1.p2.1,line.233b880f,Sister Ilse,Just nicks left. Brush Saint’s Salve over the small ones — no need for Gut Thread.,A Tavern Knife — phase 3,neutral,4.5,1
s1-2.002,line.d6faf67e,Captain Mauer,"Make way! Make way, damn you! Surgeon! Where’s the surgeon?",I · The Hospice — the next morning,urgent,4.8,1
s1-2.003,line.efa6ae84,Sister Ilse,"Captain Mauer of the Watch. Lower your voice, Captain, this is a house of mercy.",I · The Hospice — the next morning,neutral,6.2,1
s1-2.004,line.abb3a531,Captain Mauer,"Twelve went out with the timber-road caravan. Twelve came back, eleven walking. Horned folk hit us at dawn.",I · The Hospice — the next morning,neutral,8.0,1
s1-2.005,line.ad28bb8c,Captain Mauer,"Young Pieter took a shaft in the side. Twelve, Doctor. I’d like it to stay twelve.",I · The Hospice — the next morning,neutral,6.3,1
s1-2.006,line.e6789601,Dr. Kreuzer,"Then put him down gently, Captain, and stop counting him among the dead.",I · The Hospice — the next morning,neutral,5.7,1
s1-2.007,line.5f408694,Master Haller,Horned-folk heads are barbed like fish-hooks. They cut a notch in their antlers for every one that sticks in a man.,I · The Hospice — the next morning,neutral,8.5,1
s1-2.008,line.76d8a7fb,Master Haller,"Rip it straight out and you’ll take half his side with it. Free the barbs first, then pull. Cleanly.",I · The Hospice — the next morning,neutral,7.5,1
s1-2.009,line.250eaace,Captain Mauer,"Twelve. Say it with me, Doctor. Twelve.",I · The Hospice — the next morning,neutral,3.5,1
op1-2.p0.1,line.60bb3c7f,Sister Ilse,The arrow’s barbed. Lancet first — two nicks at the entry wound.,The Barbed Shaft — phase 1,neutral,3.5,1
