op,profile,seed,status,score,rank,time_used,min_vitals,litany
op1-1,novice,1,won,4085,S,17,93,0
op1-1,novice,2,won,4085,S,17,93,0
op1-1,novice,3,won,4085,S,17,93,0
op1-1,novice,4,won,4085,S,17,93,0
op1-1,novice,5,won,4085,S,17,93,0
op1-1,novice,6,won,4085,S,17,93,0
op1-1,novice,7,won,4085,S,17,93,0
op1-1,novice,8,won,4085,S,17,93,0
op1-1,novice,9,won,4085,S,17,93,0
op1-1,novice,10,won,4085,S,17,93,0
op1-1,novice,11,won,4085,S,17,93,0
op1-1,novice,12,won,4085,S,17,93,0
op1-1,novice,13,won,4085,S,17,93,0
op1-1,novice,14,won,4085,S,17,93,0
op1-1,novice,15,won,4085,S,17,93,0
op1-1,novice,16,won,4085,S,17,93,0
op1-1,novice,17,won,4085,S,17,93,0
op1-1,novice,18,won,4085,S,17,93,0
op1-1,novice,19,won,4085,S,17,93,0
op1-1,novice,20,won,4085,S,17,93,0
op1-1,steady,1,won,4145,S,13,95,0
op1-1,steady,2,won,4145,S,13,95,0
op1-1,steady,3,won,4145,S,13,95,0
op1-1,steady,4,won,4145,S,13,95,0
op1-1,steady,5,won,4145,S,13,95,0
op1-1,steady,6,won,4145,S,13,95,0
op1-1,steady,7,won,4145,S,13,95,0
op1-1,steady,8,won,4145,S,13,95,0
op1-1,steady,9,won,4145,S,13,95,0
op1-1,steady,10,won,4145,S,13,95,0
op1-1,steady,11,won,4145,S,13,95,0
op1-1,steady,12,won,4145,S,13,95,0
op1-1,steady,13,won,4145,S,13,95,0
op1-1,steady,14,won,4145,S,13,95,0
op1-1,steady,15,won,4145,S,13,95,0
op1-1,steady,16,won,4145,S,13,95,0
op1-1,steady,17,won,4145,S,13,95,0
op1-1,steady,18,won,4145,S,13,95,0
op1-1,steady,19,won,4145,S,13,95,0
op1-1,steady,20,won,4145,S,13,95,0
op1-1,expert,1,won,4185,XS,11,96,0
op1-1,expert,2,won,4185,XS,11,96,0
op1-1,expert,3,won,4185,XS,11,96,0
op1-1,expert,4,won,4185,XS,11,96,0
op1-1,expert,5,won,4185,XS,11,96,0
op1-1,expert,6,won,4185,XS,11,96,0
op1-1,expert,7,won,4185,XS,11,96,0
op1-1,expert,8,won,4185,XS,11,96,0
op1-1,expert,9,won,4185,XS,11,96,0
op1-1,expert,10,won,4185,XS,11,96,0
op1-1,expert,11,won,4185,XS,11,96,0
op1-1,expert,12,won,4185,XS,11,96,0
op1-1,expert,13,won,4185,XS,11,96,0
op1-1,expert,14,won,4185,XS,11,96,0
op1-1,expert,15,won,4185,XS,11,96,0
op1-1,expert,16,won,4185,XS,11,96,0
op1-1,expert,17,won,4185,XS,11,96,0
op1-1,expert,18,won,4185,XS,11,96,0
op1-1,expert,19,won,4185,XS,11,96,0
op1-1,expert,20,won,4185,XS,11,96,0
op1-1,farm,1,won,4145,S,13,95,0
op1-1,farm,2,won,4145,S,13,95,0
op1-1,farm,3,won,4145,S,13,95,0
op1-1,farm,4,won,4145,S,13,95,0
op1-1,farm,5,won,4145,S,13,95,0
