term,pos,type,dnt,status,de,fr,es-ES,pl,pt-BR,ru,zh-Hans,it,ja,ko,notes
Suture & Steel,proper noun,title,yes,approved,Suture & Steel,Suture & Steel,Suture & Steel,Suture & Steel,Suture & Steel,Suture & Steel,Suture & Steel,Suture & Steel,Suture & Steel,Suture & Steel,Game title; never translated; store pages may add a native subtitle only with marketing approval
The Malison Hours,proper noun,title,no,proposed,,,,,,,,,,,Subtitle; keep English unless a localised logo is approved (OPS)
Kreuzer,proper noun,character,latin,proposed,Kreuzer,Kreuzer,Kreuzer,Kreuzer,Kreuzer,Кройцер,克罗伊策,Kreuzer,クロイツァー,크로이처,Protagonist; Dr. Kreuzer; apothecary-surgeon; male
Ilse,proper noun,character,latin,proposed,Ilse,Ilse,Ilse,Ilse,Ilse,Ильза,伊尔莎,Ilse,イルゼ,일제,Sister Ilse; nursing sister; assistant; female
Stroh,proper noun,character,latin,proposed,Stroh,Stroh,Stroh,Stroh,Stroh,Штро,施特罗,Stroh,シュトロー,슈트로,Inquisitor Stroh of the Ash Tribunal; male
Haller,proper noun,character,latin,proposed,Haller,Haller,Haller,Haller,Haller,Халлер,哈勒,Haller,ハラー,할러,Master Haller; retired guild surgeon; male
Mauer,proper noun,character,latin,proposed,Mauer,Mauer,Mauer,Mauer,Mauer,Мауэр,毛尔,Mauer,マウアー,마우어,Captain Mauer of the Kessendorf Watch; male
Kessendorf,proper noun,place,latin,proposed,Kessendorf,Kessendorf,Kessendorf,Kessendorf,Kessendorf,Кессендорф,凯森多夫,Kessendorf,ケッセンドルフ,케센도르프,Free city where the game is set
Saint Ildra,proper noun,saint,no,proposed,Sankt Ildra,sainte Ildra,santa Ildra,święta Ildra,santa Ildra,святая Ильдра,圣伊尔德拉,santa Ildra,聖イルドラ,성 일드라,Fictional saint; patron of the hospice; female; never substitute a real saint
Weissburg,proper noun,place,latin,proposed,Weissburg,Weissburg,Weissburg,Weissburg,Weissburg,Вайсбург,魏斯堡,Weissburg,ヴァイスブルク,바이스부르크,City where Kreuzer was sworn
Grauwald,proper noun,place,latin,proposed,Grauwald,Grauwald,Grauwald,Grauwald,Grauwald,Граувальд,格劳瓦尔德,Grauwald,グラウヴァルト,그라우발트,Forest region
Pieter,proper noun,character,latin,proposed,Pieter,Pieter,Pieter,Pieter,Pieter,Питер,彼得,Pieter,ピーテル,피터,Patient op1-2; militiaman; male
